P1,GND
P2,PC10
P3,PC11
P4,PC12
P5,PD2
P6,PB4
P7,PB5
P8,PB6
P9,PB7
P10,PB8
P11,PB9
P12,PC2
P13,PC3
P14,VBAT
P15,3V3
P16,GND
P17,PB0
P18,PB1
P19,PB10
P20,PB11
P21,PB12
P22,PB13
P23,PB14
P24,PB15
P25,PC6
P26,PC7
P27,PC8
P28,PC9
P29,3V3
P30,VIN
P31,PA0
P32,PA1
P33,PA2
P34,PA3
P35,PA4
P36,PA5
P37,PA6
P38,PA7
P39,PC4
P40,PC5
PA8,PA8
PB2,PB2
PC0,PC0
PC13,PC13
SW,PC1
LED,PA8
USB_VBUS,PA9
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
JTAG_TMS,PA13
JTAG_TCK,PA14
JTAG_TDI,PA15
JTAG_TDO,PB3
OSC32IN,PC14
OSC32OUT,PC15
